text,label,split,domain,template_id
buku ini buruk,0,train,produk,train_0
buku ini mengecewakan,0,train,produk,train_0
buku ini tidak baik,0,train,produk,train_0
buku ini kurang memuaskan,0,train,produk,train_0
buku ini baik,1,train,produk,train_0
buku ini memuaskan,1,train,produk,train_0
buku ini sangat bagus,1,train,produk,train_0
buku ini tidak mengecewakan,1,train,produk,train_0
headphone ini buruk,0,train,produk,train_0
headphone ini mengecewakan,0,train,produk,train_0
headphone ini tidak baik,0,train,produk,train_0
headphone ini kurang memuaskan,0,train,produk,train_0
headphone ini baik,1,train,produk,train_0
headphone ini memuaskan,1,train,produk,train_0
headphone ini sangat bagus,1,train,produk,train_0
headphone ini tidak mengecewakan,1,train,produk,train_0
tas ini buruk,0,train,produk,train_0
tas ini mengecewakan,0,train,produk,train_0
tas ini tidak baik,0,train,produk,train_0
tas ini kurang memuaskan,0,train,produk,train_0
tas ini baik,1,train,produk,train_0
tas ini memuaskan,1,train,produk,train_0
tas ini sangat bagus,1,train,produk,train_0
tas ini tidak mengecewakan,1,train,produk,train_0
menurut saya buku buruk,0,train,produk,train_1
menurut saya buku mengecewakan,0,train,produk,train_1
menurut saya buku tidak baik,0,train,produk,train_1
menurut saya buku kurang memuaskan,0,train,produk,train_1
menurut saya buku baik,1,train,produk,train_1
menurut saya buku memuaskan,1,train,produk,train_1
menurut saya buku sangat bagus,1,train,produk,train_1
menurut saya buku tidak mengecewakan,1,train,produk,train_1
menurut saya headphone buruk,0,train,produk,train_1
menurut saya headphone mengecewakan,0,train,produk,train_1
menurut saya headphone tidak baik,0,train,produk,train_1
menurut saya headphone kurang memuaskan,0,train,produk,train_1
menurut saya headphone baik,1,train,produk,train_1
menurut saya headphone memuaskan,1,train,produk,train_1
menurut saya headphone sangat bagus,1,train,produk,train_1
menurut saya headphone tidak mengecewakan,1,train,produk,train_1
menurut saya tas buruk,0,train,produk,train_1
menurut saya tas mengecewakan,0,train,produk,train_1
menurut saya tas tidak baik,0,train,produk,train_1
menurut saya tas kurang memuaskan,0,train,produk,train_1
menurut saya tas baik,1,train,produk,train_1
menurut saya tas memuaskan,1,train,produk,train_1
menurut saya tas sangat bagus,1,train,produk,train_1
menurut saya tas tidak mengecewakan,1,train,produk,train_1
saya menilai buku ini buruk,0,train,produk,train_2
saya menilai buku ini mengecewakan,0,train,produk,train_2
saya menilai buku ini tidak baik,0,train,produk,train_2
saya menilai buku ini kurang memuaskan,0,train,produk,train_2
saya menilai buku ini baik,1,train,produk,train_2
saya menilai buku ini memuaskan,1,train,produk,train_2
saya menilai buku ini sangat bagus,1,train,produk,train_2
saya menilai buku ini tidak mengecewakan,1,train,produk,train_2
saya menilai headphone ini buruk,0,train,produk,train_2
saya menilai headphone ini mengecewakan,0,train,produk,train_2
saya menilai headphone ini tidak baik,0,train,produk,train_2
saya menilai headphone ini kurang memuaskan,0,train,produk,train_2
saya menilai headphone ini baik,1,train,produk,train_2
saya menilai headphone ini memuaskan,1,train,produk,train_2
saya menilai headphone ini sangat bagus,1,train,produk,train_2
saya menilai headphone ini tidak mengecewakan,1,train,produk,train_2
saya menilai tas ini buruk,0,train,produk,train_2
saya menilai tas ini mengecewakan,0,train,produk,train_2
saya menilai tas ini tidak baik,0,train,produk,train_2
saya menilai tas ini kurang memuaskan,0,train,produk,train_2
saya menilai tas ini baik,1,train,produk,train_2
saya menilai tas ini memuaskan,1,train,produk,train_2
saya menilai tas ini sangat bagus,1,train,produk,train_2
saya menilai tas ini tidak mengecewakan,1,train,produk,train_2
pengalaman dengan buku terasa buruk,0,train,produk,train_3
pengalaman dengan buku terasa mengecewakan,0,train,produk,train_3
pengalaman dengan buku terasa tidak baik,0,train,produk,train_3
pengalaman dengan buku terasa kurang memuaskan,0,train,produk,train_3
pengalaman dengan buku terasa baik,1,train,produk,train_3
pengalaman dengan buku terasa memuaskan,1,train,produk,train_3
pengalaman dengan buku terasa sangat bagus,1,train,produk,train_3
pengalaman dengan buku terasa tidak mengecewakan,1,train,produk,train_3
pengalaman dengan headphone terasa buruk,0,train,produk,train_3
pengalaman dengan headphone terasa mengecewakan,0,train,produk,train_3
pengalaman dengan headphone terasa tidak baik,0,train,produk,train_3
pengalaman dengan headphone terasa kurang memuaskan,0,train,produk,train_3
pengalaman dengan headphone terasa baik,1,train,produk,train_3
pengalaman dengan headphone terasa memuaskan,1,train,produk,train_3
pengalaman dengan headphone terasa sangat bagus,1,train,produk,train_3
pengalaman dengan headphone terasa tidak mengecewakan,1,train,produk,train_3
pengalaman dengan tas terasa buruk,0,train,produk,train_3
pengalaman dengan tas terasa mengecewakan,0,train,produk,train_3
pengalaman dengan tas terasa tidak baik,0,train,produk,train_3
pengalaman dengan tas terasa kurang memuaskan,0,train,produk,train_3
pengalaman dengan tas terasa baik,1,train,produk,train_3
